id,tcg_player_id,name,set_name
24580,138497,Charizard GX (Secret),SM - Burning Shadows
24591,662182,Mega Charizard X ex - 013/094,ME02: Phantasmal Flames
24630,662183,Mega Charizard X ex - 109/094,ME02: Phantasmal Flames
24674,662184,Mega Charizard X ex - 125/094,ME02: Phantasmal Flames
24682,662185,Mega Charizard X ex - 130/094,ME02: Phantasmal Flames
24733,124088,Charizard Spirit Link,XY - Evolutions
24740,124026,Charizard,XY - Evolutions
24768,124024,Charizard EX,XY - Evolutions
24784,124114,M Charizard EX (Full Art),XY - Evolutions
24794,124025,M Charizard EX,XY - Evolutions
25410,509879,Charizard ex - 125/197,SV03: Obsidian Flames
25456,509989,Charizard ex - 228/197,SV03: Obsidian Flames
25470,509963,Charizard ex - 215/197,SV03: Obsidian Flames
25487,509980,Charizard ex - 223/197,SV03: Obsidian Flames
25808,84183,Charizard (6),Expedition
25822,84185,Charizard (40),Expedition
25837,84184,Charizard (39),Expedition
26314,84573,Dark Charizard (21),Team Rocket
26320,84572,Dark Charizard (4),Team Rocket
26553,285396,Charizard VSTAR - SWSH262,SWSH: Sword & Shield Promo Cards
26554,251089,Lance's Charizard V - SWSH133,SWSH: Sword & Shield Promo Cards
26570,223754,Charizard V - SWSH050,SWSH: Sword & Shield Promo Cards
26589,285384,Charizard V - SWSH260,SWSH: Sword & Shield Promo Cards
26629,285378,Charizard VMAX - SWSH261,SWSH: Sword & Shield Promo Cards
26775,282259,Special Delivery Charizard - SWSH075,SWSH: Sword & Shield Promo Cards
26833,224365,Charizard - SWSH066 (Prerelease),SWSH: Sword & Shield Promo Cards
26891,224366,Charizard - SWSH066 (Prerelease) [Staff],SWSH: Sword & Shield Promo Cards
27056,84186,Charizard,Skyridge
27798,226395,Charizard,SWSH04: Vivid Voltage
28822,84194,Charizard,Legendary Treasures
29040,84199,Charizard ex,FireRed & LeafGreen
30323,502558,Charizard ex - 006/165,SV: Scarlet & Violet 151
30452,96379,Charizard EX - XY17,XY Promos
30471,96392,Charizard EX - XY29,XY Promos
30475,517017,Charizard ex - 183/165,SV: Scarlet & Violet 151
30480,517045,Charizard ex - 199/165,SV: Scarlet & Violet 151
30482,117267,Charizard EX - XY121,XY Promos
30654,126022,Charizard (XY Evolutions Prerelease),XY Promos
30703,126023,Charizard - 11/108 (Prerelease),XY Promos
31403,257299,Charizard V,SWSH09: Brilliant Stars
31435,257293,Charizard VSTAR,SWSH09: Brilliant Stars
31483,263872,Charizard V (Full Art),SWSH09: Brilliant Stars
31495,263893,Charizard VSTAR (Secret),SWSH09: Brilliant Stars
31512,263873,Charizard V (Alternate Full Art),SWSH09: Brilliant Stars
32185,489929,Charizard - 100/97 (National Championships),League & Championship Cards
32352,227648,Charizard - 25/185 (Cracked Ice Holo),Deck Exclusives
32425,190938,"Charizard - 3/70 (Let's Play, Eevee!)",Deck Exclusives
32427,118404,Charizard - 3/110 (WotC Legendary Collection),Deck Exclusives
32532,184217,Charizard - 14/181 (SM Team Up),Deck Exclusives
33094,200351,Charizard & Braixen GX,SM - Cosmic Eclipse
33287,201332,Charizard & Braixen GX (Full Art),SM - Cosmic Eclipse
33314,201611,Charizard & Braixen GX (Secret),SM - Cosmic Eclipse
33387,188409,Reshiram & Charizard GX,SM - Unbroken Bonds
33475,189318,Reshiram & Charizard GX (Full Art),SM - Unbroken Bonds
33558,675834,Mega Charizard Y ex - 022/217,ME: Ascended Heroes
33577,189319,Reshiram & Charizard GX (Secret),SM - Unbroken Bonds
34147,676106,Mega Charizard Y ex - 294/217,ME: Ascended Heroes
34569,538708,Charizard ex,Prize Pack Series Cards
34933,475980,Charizard,Prize Pack Series Cards
35002,489291,Charizard VSTAR,Prize Pack Series Cards
35022,495194,Charizard V (Prize Pack Series 2),Prize Pack Series Cards
35038,475983,Charizard VMAX,Prize Pack Series Cards
35058,475982,Charizard V (Prize Pack Series 1),Prize Pack Series Cards
35380,252517,Charizard (Celebrations Metal Card),Miscellaneous Cards & Products
35386,247414,Charizard - 14/181 (Costco Exclusive),Miscellaneous Cards & Products
35387,153234,Charizard - 1/99 (Cracked Ice Holo),Miscellaneous Cards & Products
35410,226672,Charizard - 19/113 (Cosmos Holo),Miscellaneous Cards & Products
35548,282521,Charizard - 143/S-P (Grand Prix),Miscellaneous Cards & Products
35641,478250,Charizard (Japanese Meiji Chocolate Exclusive Promo),Miscellaneous Cards & Products
35749,482106,Reshiram & Charizard GX - 2019 (Kaya Lichtleitner),World Championship Decks
35881,482107,Reshiram & Charizard GX - 2019 (Henry Brand),World Championship Decks
64461,219037,Fire Energy (#11 Charizard Stamped),Battle Academy
64467,219036,Fire Energy (#10 Charizard Stamped),Battle Academy
64469,219031,Fire Energy (#3 Charizard Stamped),Battle Academy
64470,219033,Fire Energy (#6 Charizard Stamped),Battle Academy
64471,219040,Fire Energy (#19 Charizard Stamped),Battle Academy
64472,219042,Fire Energy (#22 Charizard Stamped),Battle Academy
64473,219047,Fire Energy (#38 Charizard Stamped),Battle Academy
64476,219046,Fire Energy (#35 Charizard Stamped),Battle Academy
64479,219039,Fire Energy (#17 Charizard Stamped),Battle Academy
64482,219044,Fire Energy (#29 Charizard Stamped),Battle Academy
64484,219038,Fire Energy (#12 Charizard Stamped),Battle Academy
64488,219030,Fire Energy (#2 Charizard Stamped),Battle Academy
64489,219032,Fire Energy (#5 Charizard Stamped),Battle Academy
64490,219041,Fire Energy (#20 Charizard Stamped),Battle Academy
64491,219043,Fire Energy (#24 Charizard Stamped),Battle Academy
64493,219035,Fire Energy (#9 Charizard Stamped),Battle Academy
64494,219045,Fire Energy (#32 Charizard Stamped),Battle Academy
64495,219034,Fire Energy (#8 Charizard Stamped),Battle Academy
81023,513804,Radiant Charizard,Prize Pack Series Cards
81549,695469,Charizard (Library Exclusive),Miscellaneous Cards & Products
11030,186020,Mewtwo,Detective Pikachu
11345,528002,Mewtwo,Trading Card Game Classic
11664,276960,Mewtwo V,Pokemon GO
11681,276963,Mewtwo VSTAR,Pokemon GO
11707,274470,Mewtwo V (Alternate Full Art),Pokemon GO
11726,277011,Mewtwo VSTAR (79) (Secret),Pokemon GO
11728,277024,Mewtwo VSTAR (86) (Secret),Pokemon GO
11972,87428,Mewtwo ex,Ruby and Sapphire
12267,42445,Mewtwo,Base Set 2
12486,283785,Mewtwo,Trick or Trade BOOster Bundle
12999,42347,Mewtwo,Base Set
13284,478173,Mewtwo,SWSH: Crown Zenith
13664,88778,Rocket's Mewtwo ex,Team Rocket Returns
14831,87425,Mewtwo (Delta Species),Delta Species
14905,87419,Mewtwo,Legendary Collection
15424,197806,Mewtwo GX,Hidden Fates: Shiny Vault
16605,87434,Mewtwo LV.X - DP28,Diamond and Pearl Promos
16786,88777,Rocket's Mewtwo,Gym Challenge
16898,250339,Mewtwo EX,Celebrations: Classic Collection
17466,518872,Mewtwo - 052,SV: Scarlet & Violet Promo Cards
17492,637617,Team Rocket's Mewtwo ex,SV: Scarlet & Violet Promo Cards
17543,653257,Team Rocket's Mewtwo ex - 216,SV: Scarlet & Violet Promo Cards
18245,87430,Mewtwo EX - BW45,Black and White Promos
18496,87423,Mewtwo,Rumble
18737,197675,Mewtwo GX,Hidden Fates
19037,107005,Mewtwo,Base Set (Shadowless)
19466,146695,Mewtwo GX,Shining Legends
19467,146696,Mewtwo GX (Full Art),Shining Legends
19490,146698,Mewtwo GX (Secret Shining),Shining Legends
19524,146697,Mewtwo GX (Secret),Shining Legends
19947,87422,Mewtwo,Legends Awakened
20075,87433,Mewtwo LV.X,Legends Awakened
20337,632891,Team Rocket's Mewtwo ex - 081/182,SV10: Destined Rivals
20361,633013,Team Rocket's Mewtwo ex - 213/182,SV10: Destined Rivals
20501,633040,Team Rocket's Mewtwo ex - 240/182,SV10: Destined Rivals
20564,633031,Team Rocket's Mewtwo ex - 231/182,SV10: Destined Rivals
20688,146982,Mewtwo - SM77,SM Promos
20708,188165,Mewtwo GX - SM196,SM Promos
20714,197856,Mewtwo & Mew GX - SM191,SM Promos
20716,205169,Armored Mewtwo - SM228,SM Promos
20721,197855,Mewtwo - SM214,SM Promos
22360,639951,Team Rocket's Mewtwo ex,Jumbo Cards
22408,169950,Mewtwo EX - XY183,Jumbo Cards
22425,227625,Mewtwo EX - 52/108,Jumbo Cards
22457,211501,Mewtwo EX - 54/99,Jumbo Cards
22482,198773,Mewtwo EX - 61/162,Jumbo Cards
22544,210844,Mewtwo - S4/S4 (Box Topper),Jumbo Cards
22551,191625,Mewtwo GX - SM196,Jumbo Cards
22577,211503,M Mewtwo EX - 64/162,Jumbo Cards
22586,211502,M Mewtwo EX - 63/162,Jumbo Cards
22616,211507,Rocket's Mewtwo - 14/132,Jumbo Cards
22814,87414,Mewtwo (Movie Promo),WoTC Promo
22853,87417,Mewtwo (14),WoTC Promo
22875,87416,Mewtwo (12),WoTC Promo
23175,219172,Espeon - 89/214 (Mewtwo Stamped),Battle Academy
23176,219177,Mew - 32/68 (Mewtwo Stamped),Battle Academy
23177,219182,Snorlax - 50/68 (Mewtwo Stamped),Battle Academy
23186,219179,Mesprit - 84/236 (Mewtwo Stamped),Battle Academy
23195,219184,Cynthia - 119/156 (Mewtwo Stamped),Battle Academy
23197,219171,Mewtwo GX - 31/68 (Mewtwo Stamped),Battle Academy
23208,219189,Switch - 132/149 (Mewtwo Stamped),Battle Academy
23219,219187,Pokemon Catcher - 126/149 (Mewtwo Stamped),Battle Academy
23220,219180,Cresselia - 87/236 (Mewtwo Stamped),Battle Academy
23226,219176,Mareanie - 105/214 (Mewtwo Stamped),Battle Academy
23228,219174,Eevee - 49/68 (Mewtwo Stamped),Battle Academy
23256,219186,Hau - 120/149 (Mewtwo Stamped),Battle Academy
23261,219175,Toxapex - 97/236 (Mewtwo Stamped),Battle Academy
23262,219185,Great Ball - 119/149 (Mewtwo Stamped),Battle Academy
23292,219183,Bug Catcher - 189/236 (Mewtwo Stamped),Battle Academy
23307,219188,Potion - 127/149 (Mewtwo Stamped),Battle Academy
23767,477057,Mewtwo VSTAR,SWSH: Crown Zenith: Galarian Gallery
24220,89167,Shining Mewtwo,Neo Destiny
24567,167080,Rocket's Mewtwo - 8 [Winner],Best of Promos
24670,124064,Mewtwo,XY - Evolutions
24769,124065,Mewtwo EX,XY - Evolutions
24775,124116,Mewtwo EX (Full Art),XY - Evolutions
25777,87420,Mewtwo (56),Expedition
25821,87418,Mewtwo (20),Expedition
26006,567285,Mewtwo,SV07: Stellar Crown
26266,87421,Mewtwo,Majestic Dawn
26470,87426,Mewtwo (Delta Species),Holon Phantoms
26533,87427,Mewtwo Star,Holon Phantoms
26587,277040,Mewtwo V - SWSH229,SWSH: Sword & Shield Promo Cards
26639,270718,Mewtwo V - SWSH223,SWSH: Sword & Shield Promo Cards
26821,248892,Mewtwo V-UNION - SWSH160,SWSH: Sword & Shield Promo Cards
26822,248894,Mewtwo V-UNION - SWSH162,SWSH: Sword & Shield Promo Cards
26869,248891,Mewtwo V-UNION - SWSH159,SWSH: Sword & Shield Promo Cards
26883,248893,Mewtwo V-UNION - SWSH161,SWSH: Sword & Shield Promo Cards
27421,87429,Mewtwo EX,Next Destinies
27469,87432,Mewtwo EX (98 Full Art),Next Destinies
28809,87424,Mewtwo,Legendary Treasures
28847,87431,Mewtwo EX,Legendary Treasures
30270,516713,Mewtwo,SV: Scarlet & Violet 151
30467,117702,Mewtwo EX - XY107,XY Promos
30481,125254,Mewtwo EX - XY183,XY Promos
30517,108623,Mewtwo - XY100,XY Promos
30538,108624,Mewtwo - XY101,XY Promos
30627,123435,Mewtwo EX - XY125,XY Promos
30679,126020,Mewtwo (XY Evolutions Prerelease),XY Promos
30767,126021,Mewtwo - 51/108 (Prerelease) [Staff],XY Promos
